,storenum,Store,region,latitude,longitude,address,city,state,zip
0,10144,Academy,Rocky Mountain,35.1464796,-106.5558882,5815 Wyoming Blvd NE,Albuquerque,NM,87109
1,10371,Andover,North Atlantic,42.660969,-71.145048,40 Railroad St,Andover,MA,1810
2,10507,Arlington Center,North Atlantic,42.4163119,-71.1594685,808 Massachusetts Ave,Arlington,MA,2476
3,10090,Bedford,North Atlantic,42.4903382,-71.2741086,170 Great Rd,Bedford,MA,1730
4,10153,Bellevue,Pacific Northwest,47.6185386,-122.1845645,888 116th Ave NE,Bellevue,WA,
5,10091,Bellingham,North Atlantic,42.1114476,-71.4615713,255 Hartford Ave,Bellingham,MA,2019
6,10366,Bishops Corner,North Atlantic,41.7846983,-72.7454007,340 N Main St,West Hartford,CT,6117
7,10236,Bowery,Northeast,40.7238111,-73.9923524,95 E Houston St,New York,NY,10002
8,10266,Bridgeport,Pacific Northwest,45.3944296,-122.7518953,7380 SW Bridgeport Rd,Tigard,OR,97224
9,10015,Brighton,North Atlantic,42.3428962,-71.1404764,15 Washington St,Brighton,MA,
10,10220,Brooklyn,Northeast,40.6753309,-73.9885628,214 3rd St,Brooklyn,NY,
11,10405,Capitol Hill,Rocky Mountain,39.7333039,-104.975853,900 E 11th Ave,Denver,CO,80218
12,10104,Cerrillos,Rocky Mountain,35.6786877,-105.9504541,753 Cerrillos Rd,Santa Fe,NM,87505
13,10158,Charles River Plaza,North Atlantic,42.3620497,-71.0653595,181 Cambridge St,Boston,MA,2114
14,10509,Charlestown,North Atlantic,42.3755995,-71.0661905,51 Austin St,Charlestown,MA,2129
15,10131,Chelsea,Northeast,40.7450809,-73.9953523,250 7th Avenue,New York,NY,10001
16,10095,Cherry Creek,Rocky Mountain,39.7186124,-104.9572998,2375 E 1st Ave,Denver,CO,80206
17,10350,Colfax,Rocky Mountain,39.7365013,-105.1613364,14357 W Colfax Ave,Golden,CO,80401
18,10160,Columbus Circle,Northeast,40.7684141,-73.9827037,10 Columbus Cir,New York,NY,10019
19,10254,Cranston,North Atlantic,41.755926,-71.4560769,151 Sockanosset Cross Rd,Cranston,RI,2920
20,10300,Darien,Northeast,41.0731747,-73.4762617,150 Ledge Rd,Darien,CT,6820
21,10319,Dedham,North Atlantic,42.2330347,-71.1779592,300 Legacy Pl,Dedham,MA,2026
22,10532,Draper,Rocky Mountain,40.543134,-111.890747,11479 S. State Street,Draper,UT,
23,10401,Encinitas,Southern Pacific,33.0441208,-117.2930445,687 S Coast Highway 101,Encinitas,CA,92024
24,10317,Fairfield,Northeast,41.1570438,-73.2417652,350 Grasmere Ave,Fairfield,CT,6824
25,10156,Framingham,North Atlantic,42.2985934,-71.4209914,575 Worcester Rd,Framingham,MA,1701
26,10026,Fresh Pond,North Atlantic,42.3892095,-71.1416163,200 Alewife Brook Pkwy,Cambridge,MA,2138
27,10336,Glastonbury,North Atlantic,41.7149717,-72.607061,55 Welles Street,Glastonbury,CT,6033
28,10012,Hadley,North Atlantic,42.3531204,-72.555805,327 Russell St,Hadley,MA,1035
29,10142,Highlands Ranch,Rocky Mountain,39.5457345,-104.9436065,9366 S. Colorado Blvd.,Highlands Ranch,CO,80126
30,10159,Hingham,North Atlantic,42.1774302,-70.9088314,94 Derby Street,Hingham,MA,2043
31,10243,Hollywood,Pacific Northwest,45.5368989,-122.6186228,4301 NE Sandy Blvd,Portland,OR,97213
32,10512,Hyannis,North Atlantic,41.6725158,-70.3019085,990 Iyannough Road,Hyannis,MA,2601
33,10275,Interbay,Pacific Northwest,47.6371892,-122.3770471,2001 15th Avenue W,Seattle,WA,98119
34,10437,Laguna Niguel,Southern Pacific,33.5547634,-117.7137259,23932 Aliso Creek Road,Laguna Niguel,CA,92677
35,10240,Lake Grove,Northeast,40.8699434,-73.1258424,120 New Moriches Road,Lake Grove,NY,11755
36,10402,Laurelhurst,Pacific Northwest,45.5231539,-122.6367389,2825 East Burnside St.,Portland,OR,97214
37,10452,Lynnfield,North Atlantic,42.5158905,-71.0342021,427 Walnut Street,Lynnfield,MA,1940
38,10436,Lynnwood,Pacific Northwest,47.8200739,-122.2722082,2800 SW 196th St. SW,Lynnwood,WA,98036
39,10380,Medford,North Atlantic,42.4172868,-71.1266824,2151 Mystic Valley Pkwy,Medford,MA,
40,10510,Melrose,North Atlantic,42.4648952,-71.0625093,880 Main Street,Melrose,MA,02176-2346
41,10213,Middletown,Northeast,40.3751624,-74.0874042,471 Rte 35,Red Bank,NJ,7701
42,10412,Mill Plain,Pacific Northwest,45.6146944,-122.5058161,815 Southeast 160th Avenue,Vancouver,WA,98683
43,10435,New Center Point,Rocky Mountain,38.8786341,-104.7179788,3180 New Center Point,Colorado Springs,CO,80922
44,10013,Newton,North Atlantic,42.3301124,-71.2064268,916 Walnut St,Newton,MA,2461
45,10092,Newtonville,North Atlantic,42.3541273,-71.2000765,647 Washington Street,Newtonville,MA,2458
46,10462,North Nashua,North Atlantic,42.7802792,-71.4954109,255 Amherst Street,Nashua,NH,3063
47,10410,Overland Park,Rocky Mountain,38.963463,-94.6714654,7401 West 91st St,Overland Park,KS,66212
48,10225,Pacific Coast Hwy,Southern Pacific,33.7571653,-118.1103707,6550 E Pacific Coast Hwy,Long Beach,CA,90803
49,10359,Palm Desert,Southern Pacific,33.7279848,-116.3959758,44-459 Town Center Way,Palm Desert,CA,92260
50,10279,Paramus,Northeast,40.9151023,-74.0592181,300 Bergen Town Center,Paramus,NJ,7652
51,10083,Pearl,Rocky Mountain,40.0228457,-105.2563423,2905 Pearl St,Boulder,CO,80301
52,10146,Pikes Peak,Rocky Mountain,38.9421289,-104.7974014,7635 North Academy Blvd,Colorado Springs,CO,80920-3207
53,10148,Portland,Pacific Northwest,45.5234707,-122.6833577,1210 NW Couch St,Portland,OR,97209
54,10291,Portland ME,North Atlantic,43.6634369,-70.2594329,2 Somerset St,Portland,ME,4101
55,10014,Providence,North Atlantic,41.827777,-71.386351,261 Waterman St,Providence,RI,
56,10260,Redmond,Pacific Northwest,47.666112,-122.1012285,17991 Redmond Way,Redmond,WA,
57,10113,River Street,North Atlantic,40.825033,-73.973929,905 River Rd,Edgewater,NJ,
58,10103,Roosevelt Square,Pacific Northwest,47.6752938,-122.3162376,1026 NE 64th St,Seattle,WA,98115
59,10173,Santa Monica,Southern Pacific,34.0332027,-118.481336,2201 Wilshire Blvd,Santa Monica,CA,
60,10173,Santa Monica,Southern Pacific,34.0197795,-118.4968584,500 Wilshire Blvd,Santa Monica,CA,
61,10173,Santa Monica,Southern Pacific,34.0329304,-118.494706,1425 Montana Ave,Santa Monica,CA,
62,10511,Somerville,North Atlantic,42.3760047,-71.1030766,45 Beacon Street,Somerville,MA,2143
63,10506,South Weymouth,North Atlantic,42.171378,-70.953342,35 Pleasant Street,South Weymouth,MA,2190
64,10222,Swampscott,North Atlantic,42.4791018,-70.9048708,331 Paradise Rd,Swampscott,MA,1907
65,10031,Symphony,North Atlantic,42.3438262,-71.0873163,15 Westland Ave,Boston,MA,2115
66,10327,Tanasbourne,Pacific Northwest,45.5337398,-122.8769732,19440 NW Cornell Rd,Hillsboro,OR,97124
67,10245,Tribeca,Northeast,40.715531,-74.0114691,270 Greenwich Street,New York,NY,10007
68,10280,Trolley Square,Rocky Mountain,40.757846,-111.87185,544 S 700 E,Salt Lake City,UT,84102
69,10162,Union Square,Northeast,40.734735,-73.9913804,4 Union Square S,New York,NY,
70,10111,University,North Atlantic,29.7068766,-95.4416412,4004 Bellaire Blvd,Houston,TX,77025
71,10328,Upper West Side,Northeast,40.7954009,-73.9658885,808 Columbus Ave,New York,NY,
72,10093,Wayland,North Atlantic,42.3631284,-71.3657123,317 Boston Post Rd,Wayland,MA,1778
73,10413,Wellesley,North Atlantic,42.3024429,-71.285709,442 Washington Street,Wellesley,MA,2482
74,10217,West Hartford,North Atlantic,41.760892,-72.738838,50 Raymond Rd,West Hartford,CT,6107
75,10216,Westlake,Pacific Northwest,47.618378,-122.3380607,2210 Westlake Ave,Seattle,WA,98121
76,10504,Wichita,Rocky Mountain,37.7087996,-97.2262254,1423 N. Webb Rd. Suite 101,Wichita,KS,67206
77,10233,Woburn,North Atlantic,42.460002,-71.1639402,400 Cambridge Rd.,Woburn,MA,1801
